New Registrations by Cardholder Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,2014,,,2013,,,2012,,,2011,,,2010,,
ID,Branch Name,Tier,Child,Teen,Adult under 25,Adult 25+,Child,Teen,Adult under 25,Adult 25+,Child,Teen,Adult under 25,Adult 25+,Child,Teen,Adult under 25,Adult 25+,Child,Teen,Adult,Child,Teen,Adult,Child,Teen,Adult,Child,Teen,Adult,Child,Teen,Adult,Child,Teen,Adult
PA,Pape Danforth,DL,353,65,233,1454,355,57,210,1627,320,44,145,1136,357,38,41,1287,277,27,1145,289,61,1324,281,52,1205,229,47,1121,348,63,1279,444,69,1539
PK,Parkdale,NL,274,63,121,1610,357,42,240,2163,337,64,214,1514,221,40,46,1602,288,44,1628,311,34,1669,295,44,1544,356,60,1578,309,59,1715,458,75,1852
PL,Parliament Street,NL,180,27,116,779,239,102,194,1536,253,68,242,1117,202,134,41,1163,237,74,1253,239,57,1265,354,49,1229,322,54,1273,380,68,1361,407,89,1350
PE,Perth Dupont,NL,78,7,25,438,110,9,9,446,106,3,10,257,68,3,6,213,78,4,163,82,13,187,73,2,159,38,3,144,121,12,156,149,7,168
PV,Pleasant View,NL,224,26,35,396,202,37,25,402,188,36,26,319,197,20,11,333,149,34,299,247,36,418,369,52,771,187,40,486,150,45,361,202,56,406
PU,Port Union,NL,269,49,68,690,360,73,56,655,256,54,44,495,201,50,6,480,285,60,498,231,66,545,274,69,507,253,64,502,270,88,633,281,72,619
QS,Queen Saulter,NL,107,6,35,574,100,7,32,473,105,7,48,406,90,10,8,390,98,4,335,124,8,341,116,4,304,83,4,330,75,9,336,83,14,397
RX,Rexdale,NL,105,34,28,347,95,32,26,313,76,24,35,292,102,31,6,323,93,23,284,88,25,293,102,38,282,121,29,271,108,35,322,149,34,337
RI,Richview,DL,794,212,282,2512,876,262,251,2249,748,208,234,1643,794,169,52,1857,804,188,1849,543,166,1840,608,167,1833,770,216,2096,941,241,2128,1099,238,2313
RD,Riverdale,NL,203,41,158,1064,198,30,125,969,129,20,118,647,165,20,34,757,160,16,705,137,17,808,217,20,777,135,27,824,187,33,960,150,18,814
RN,Runnymede,NL,380,160,155,1841,416,88,156,1852,271,37,91,897,281,30,41,1515,324,40,1469,247,58,1518,269,59,1399,270,53,1459,362,73,1684,327,70,1721
SWS,S. Walter Stewart,DL,573,68,81,1233,432,60,100,1168,387,33,90,829,378,54,30,807,352,53,834,449,73,893,360,70,863,443,52,865,470,100,985,555,89,1148
SA,Sanderson,NL,230,68,251,1609,220,54,398,1376,155,20,202,870,166,14,29,960,117,19,937,184,20,1050,227,29,1236,224,17,1178,231,57,1260,303,58,1272
SC,Scarborough Civic Centre,NL,376,119,485,1856,321,104,552,1709,367,80,651,1351,335,68,104,1666,377,38,1827,0,0,0,,,,,,,,,,,,
SP,Spadina Road,NL,130,21,172,760,95,27,155,648,69,39,128,507,87,9,17,607,83,13,641,55,10,573,74,20,597,99,11,644,94,9,743,93,22,799
SI,St. Clair Silverthorn,NL,60,6,11,177,2,0,0,4,89,6,22,170,86,10,6,204,85,9,190,84,19,216,91,14,185,102,8,196,119,17,239,123,16,240
SJ,St. James Town,NL,298,43,177,1779,330,41,191,1575,251,114,199,1095,272,49,49,1218,208,31,1188,294,41,1259,274,41,1380,292,38,1498,282,58,1574,272,47,1427
SL,St. Lawrence,NL,163,21,271,2095,185,29,211,1715,202,19,218,1330,99,9,27,1280,102,5,1171,108,8,1159,99,18,1024,104,14,797,147,9,858,150,11,981
ST,Steeles,NL,304,199,94,973,456,24,29,389,238,45,59,555,239,49,12,704,368,43,641,174,71,581,226,89,743,189,78,635,260,75,689,343,95,833
SW,Swansea Memorial,NL,59,1,2,71,47,0,6,71,77,2,10,114,31,3,1,57,35,3,47,27,2,52,18,1,48,34,2,52,30,1,61,52,1,58
TA,Taylor Memorial,NL,156,20,17,352,121,22,11,343,119,9,14,201,123,16,2,260,103,11,307,131,12,310,55,12,250,115,35,293,84,11,300,81,18,288
TH,Thorncliffe,NL,715,118,116,999,456,142,155,1000,688,73,122,716,693,78,41,815,612,59,836,678,72,862,1043,85,962,505,82,968,565,104,1063,1293,228,1522
TOD,Todmorden Room,NL,43,6,8,187,39,2,8,155,32,3,18,156,47,5,3,135,29,9,132,48,2,147,47,7,138,50,1,106,67,11,170,147,10,236
VV,Victoria Village,NL,206,16,18,304,252,27,10,341,170,10,30,261,220,15,3,303,170,17,278,131,16,247,149,23,257,140,20,267,197,24,248,171,22,290
WE,Weston,NL,289,148,108,973,252,58,103,864,256,38,89,684,283,64,20,660,265,37,677,242,37,530,300,44,529,316,68,708,419,93,725,386,72,686
WS,Woodside Square,NL,448,259,242,1392,570,125,251,1441,418,155,231,1242,443,128,26,1403,425,176,1404,433,214,1502,581,144,1504,426,149,1438,621,215,1749,611,212,1836
WP,Woodview Park,NL,142,115,59,468,196,32,37,308,173,18,36,279,153,35,7,285,125,30,271,175,19,301,267,28,352,214,20,281,152,31,284,160,48,352
WY,Wychwood,NL,1,0,0,16,68,9,34,468,194,44,71,792,228,24,12,900,158,26,848,133,16,794,160,27,813,128,28,689,152,24,782,196,40,952
YW,York Woods,DL,483,205,329,1756,694,284,329,2054,770,186,477,1519,628,180,73,1498,696,180,1576,932,148,1794,751,129,1400,1023,299,1686,1191,249,2082,1073,249,2182
YO,Yorkville,NL,220,82,150,897,164,17,329,974,183,37,139,856,179,17,30,777,138,22,852,122,17,872,114,79,859,117,24,901,161,17,984,100,15,851
TRL,Toronto Reference Library,RR,208,230,3175,10848,184,231,3625,10935,168,390,4033,8920,168,170,1087,11978,121,118,11378,81,116,11111,73,94,9451,79,112,8491,80,104,9118,80,106,9368
UA,Urban Affairs,RR,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6,2,511,13,2,689
MC,Merril Collection,RR,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OC,Osborne Collection,RR,0,0,0,0,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,Interloan,RR,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Answerline,RR,0,0,0,1,,,,,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
NYCL,North York Central Library,RR,1434,2650,1731,8708,1713,3377,954,6425,254,2639,320,1747,1111,3783,232,7078,1170,3576,8318,1130,2729,8403,1304,1828,8792,1195,1266,7830,1444,1153,8227,1418,1412,8816
BO,Bookmobile One,CWS,45,1,0,68,68,2,2,65,33,3,6,42,37,11,0,31,64,4,71,140,6,133,99,15,62,63,7,73,83,7,94,68,3,69
BT,Bookmobile Two,CWS,10,0,0,11,7,2,0,8,14,0,0,21,11,1,0,12,9,0,7,26,1,8,70,3,52,50,7,53,65,4,69,77,11,62
HLS,Home Library Service,CWS,0,0,0,139,1,0,1,178,4,0,0,214,7,1,0,275,7,1,237,7,1,212,1,0,169,0,1,142,1,0,195,0,0,199
ALD,Adult Literacy Department,CWS,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,
SH,Sunnybrook Hospital,CWS,2,1,7,122,3,1,6,125,1,0,10,122,3,3,1,118,3,0,104,1,2,115,3,0,114,17,2,138,0,0,145,2,2,147
DS,Departmental Staff,OT,5,0,1,16,0,1,2,9,2,0,10,29,3,3,0,16,0,0,10,2,0,5,1,1,18,6,2,62,85,15,370,170,44,616
,Grand Total,,31961,12530,20630,137611,33490,11891,20762,132826,30247,10310,19136,97357,29151,10268,4073,112458,29274,9661,112482,30358,9078,113605,31114,9267,104962,29052,8254,104004,36278,10175,117021,36871,9913,122192
