,,,2019,,,,,,,,,,,,2018,,,,,,,,,,,,2017,,,,,,,,,,,,2016,,,,,,,,,,,,2015,,,,,,,,,,,,2014,,,,,,,,,,,,2013,,,,,,,,,,2012,,,,,,,,,
,,,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,General,General,Class/Group,Class/Group,Literacy,Literacy,ESL,ESL,User Education,User Education,General,General,Class/Group,Class/Group,Literacy,Literacy,ESL,ESL,User Education,User Education
ID,Branches,Tier,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att
LO,Locke,NL,23,"1,241",0,0,129,4523,0,0,179,"4,070",12,71,63,"3,649",,,72,1828,,,191,"4,687",,,25,"1,158",,,94,1616,,,280,"8,459",9,49,56,1356,,,54,1176,,,250,7893,8,58,42,1637,,,54,1201,,,241,7184,1,29,46,1870,,,36,764,6,142,239,6906,,,217,6377,93,3412,0,0,0,0,0,0,225,6352,87,3183,0,0,0,0,0,0
LB,Long Branch,NL,119,"2,152",0,0,18,426,0,0,79,"2,002",0,0,94,"1,530",,,5,205,,,87,"2,348",21,228,82,"1,047",,,6,134,,,75,"1,794",13,51,80,1074,,,6,50,,,105,2905,,,81,1260,,,9,96,,,74,2172,,,83,1357,1,6,13,180,,,115,3149,,,148,3189,33,1071,0,0,0,0,0,0,145,3181,37,1505,0,0,0,0,0,0
MA,Main Street,NL,151,"2,521",0,0,44,798,0,0,162,"4,151",14,74,158,"2,691",,,53,855,,,147,"4,589",14,67,155,"2,756",,,28,413,,,164,"5,408",22,259,143,1885,,,4,75,,,198,5518,6,120,66,782,,,22,254,,,120,3346,1,27,89,1197,,,15,199,,,125,2986,,,471,3275,27,901,0,0,1,4,0,0,130,2836,43,989,0,0,0,0,1,2
MAL,Malvern,DL,400,"6,658",39,"2,230",548,"8,718",12,1332,321,"5,488",171,1152,462,"8,721",42,"2,044",579,"9,066",12,1262,304,"6,179",169,1060,397,"7,988",54,2268,406,"6,606",12,1256,351,"6,569",172,1362,269,5146,39,2283,231,3994,12,1394,376,7944,138,1055,301,9971,40,3014,186,3250,12,1349,282,6852,61,590,251,4994,82,3184,195,2506,12,1431,343,6928,108,974,576,9867,144,4123,59,1271,80,2873,133,1155,381,9044,84,2404,57,1244,38,2683,98,851
MAS,Maria A. Shchuka,DL,357,7351,102,1283,321,"5,851",12,327,161,4670,98,580,399,"6,880",94,1060,338,"6,494",11,525,230,6499,132,952,252,4620,24,323,397,9066,12,486,180,"5,726",134,882,410,8599,11,75,117,2554,14,696,179,5470,144,1182,300,5802,18,89,103,1913,21,644,182,5589,76,582,341,6374,15,122,76,1268,16,570,257,7176,97,1271,463,12228,76,2863,21,810,0,0,95,770,462,12652,61,2002,21,939,0,0,75,674
MRV,Maryvale,NL,54,838,24,173,46,"1,240",0,0,50,648,9,42,57,"1,114",36,312,86,"1,783",,,55,786,20,102,48,782,41,302,47,773,,,70,"1,403",20,128,35,553,,,14,251,,,107,1900,4,49,33,641,,,18,458,,,98,1738,2,28,22,685,,,13,215,,,92,1744,4,4,80,2057,62,1345,0,0,0,0,0,0,89,2075,51,1089,0,0,1,15,0,0
MCG,McGregor Park,NL,39,"1,368",0,0,62,"1,355",0,0,100,1978,35,221,83,"1,829",,,97,1630,,,73,"1,283",22,196,103,"1,932",,,38,494,,,138,"3,498",39,525,51,846,1,12,52,920,,,132,2517,8,105,39,691,,,74,1661,,,265,6241,11,213,27,509,,,54,898,,,301,7743,21,64,198,5786,134,3133,0,0,10,191,11,38,209,5011,83,2598,0,0,4,81,0,0
MI,Mimico Centennial,NL,53,"2,068",27,130,51,"1,370",9,246,41,525,18,169,144,"2,220",39,208,25,587,12,312,91,1723,18,204,117,"2,701",68,324,58,855,10,224,150,"3,365",,,78,1071,72,340,30,354,8,311,155,3911,16,270,102,1770,50,419,31,722,11,180,150,5301,15,241,34,1990,34,219,32,538,8,132,209,5948,,,282,7230,28,851,8,88,23,220,1,1,196,7311,21,794,6,206,1,28,0,0
MS,Morningside,NL,49,"1,018",7,20,69,"1,733",12,315,126,"1,429",22,181,69,"1,495",,,87,"2,206",12,251,77,779,15,69,77,"1,299",,,61,"1,462",12,282,105,1261,23,164,55,1495,,,58,1319,12,322,130,2516,4,81,39,992,,,69,1500,12,238,97,1400,1,33,35,842,,,85,1553,12,353,100,1461,,,124,1611,82,1922,19,305,0,0,0,0,113,1343,54,968,9,528,0,0,0,0
MD,Mount Dennis,NL,63,1162,18,82,74,"2,050",12,257,70,"1,063",19,206,71,"1,238",27,172,66,"1,859",12,360,65,"1,155",10,108,73,"1,071",49,292,91,2127,11,396,50,927,15,199,66,1304,20,122,98,2625,12,401,67,1188,29,429,71,1840,36,137,70,1435,11,219,89,1547,7,100,72,1636,45,317,116,2801,12,192,123,1880,8,24,106,2601,139,3647,13,216,19,209,31,38,0,0,0,0,0,0,0,0,0,0
MP,Mount Pleasant,NL,43,989,0,0,82,1261,0,0,121,4030,21,181,57,"1,460",,,53,1037,,,112,4134,10,57,42,"1,037",,,31,503,,,99,3240,1,17,22,798,,,33,1022,,,83,2273,1,8,23,296,,,12,290,,,60,1272,3,26,10,362,,,,,,,77,2576,,,93,3236,14,283,0,0,0,0,2,12,131,2466,18,380,0,0,0,0,0,0
NT,New Toronto,NL,93,"1,635",0,0,7,176,10,203,25,251,0,0,84,"1,411",,,4,125,12,195,21,351,18,261,118,"2,037",,,26,587,10,206,29,558,21,423,82,1799,,,35,654,10,186,51,1295,2,38,38,907,,,85,1629,12,198,59,1459,,,18,682,,,5,184,9,124,55,1659,,,111,2346,7,193,11,165,0,0,0,0,101,2663,12,387,7,184,0,0,0,0
ND,Northern District,DL,160,3622,10,74,236,4858,12,555,182,5856,68,487,183,4581,2,13,203,4018,12,579,190,"7,722",84,878,178,4774,,,108,1962,12,619,190,7444,86,669,146,5235,16,151,96,1242,12,465,155,4343,86,747,170,3600,,,91,1933,12,499,206,4771,3,57,96,2051,,,51,1872,12,466,182,4653,2,12,261,8284,22,419,10,697,3,82,8,45,269,9591,7,143,9,356,0,0,6,50
NE,Northern Elms,NL,160,994,0,0,13,153,0,0,59,791,14,55,118,900,,,34,416,,,76,"1,113",14,79,83,544,8,13,12,153,,,36,311,11,21,73,518,4,6,1,6,,,79,1100,7,121,67,391,7,9,5,136,,,102,1663,2,76,84,719,,,7,78,,,38,294,,,128,1063,21,420,1,6,2,70,6,6,72,815,32,668,0,0,1,29,1,2
OV,Oakwood Village Library and Arts Centre,NL,142,"3,864",0,0,36,986,8,109,133,"4,383",13,147,211,"5,372",,,33,835,,,144,"4,085",,,236,"4,448",,,21,516,,,155,"4,463",8,35,253,3924,,,56,1018,,,168,3626,4,16,221,3047,,,89,1903,,,157,3118,1,2,211,3432,,,118,2962,,,124,2575,,,340,7965,96,2162,0,0,0,0,1,1,270,4761,75,1757,0,0,0,0,3,6
PM,Palmerston,NL,92,"1,491",0,0,25,564,0,0,121,"2,532",15,88,74,"1,588",,,16,266,,,104,"2,319",13,85,83,"2,291",,,27,613,,,97,"2,585",14,93,80,2668,,,53,1284,,,120,2721,9,188,80,2047,,,21,503,,,134,2847,9,233,40,1333,,,20,648,,,116,3015,1,7,130,3653,21,487,1,32,1,4,0,0,168,4420,59,2099,0,0,8,77,2,4
PA,Pape/Danforth,DL,65,1220,80,537,164,"2,806",10,237,176,"2,957",5,22,57,"1,056",92,577,109,"1,467",10,249,155,"2,780",4,53,125,"2,671",80,663,85,"1,502",10,232,233,"5,690",8,90,136,2404,87,753,105,1769,10,178,227,6148,23,221,71,1740,87,810,88,1640,10,141,238,5414,2,7,63,2040,86,653,39,560,10,354,248,5925,13,77,170,4786,145,4412,20,219,72,577,2,6,220,5125,92,2995,8,152,21,320,2,22
PK,Parkdale,NL,16,643,33,1978,108,2201,18,224,130,"2,985",9,50,108,"2,216",69,4966,118,"1,808",44,806,247,"4,993",35,338,163,"3,517",95,10998,211,"2,547",11,694,98,"1,697",15,217,158,4228,139,13559,48,2065,146,2197,126,2076,2,14,135,3634,133,10309,51,2113,103,2146,194,3235,10,154,127,4737,131,2380,147,2071,20,1059,182,4178,22,90,422,9665,106,2978,48,1184,97,3058,20,84,395,9489,113,3463,44,1397,90,2434,28,140
PL,Parliament Street,NL,92,"1,060",0,0,52,758,4,158,171,"2,412",33,241,101,"1,343",6,65,104,"1,180",12,533,178,"2,122",48,302,130,"2,230",6,20,109,1421,12,496,205,"3,518",47,480,177,3051,3,45,87,902,11,479,210,3299,12,136,101,1949,28,184,87,1230,11,342,273,4389,5,46,80,1635,53,419,102,1542,12,534,234,3745,,,279,4148,99,2802,24,587,80,717,1,2,250,4194,100,2101,8,356,50,400,0,0
PE,Perth/Dupont,NL,122,1544,0,0,102,"1,942",10,232,98,"2,279",8,32,150,"2,201",,,104,"1,556",12,448,108,"2,143",9,63,92,"1,168",,,3,63,11,112,126,"2,763",2,10,100,1410,,,15,219,12,132,55,1730,7,217,122,2421,,,36,612,10,155,106,3033,,,100,1970,8,240,51,1002,12,134,94,2850,2,2,74,1653,100,3245,12,127,7,195,0,0,73,1601,119,3806,8,258,2,60,0,0
PV,Pleasant View,NL,80,992,80,2282,56,1369,12,306,119,"2,547",8,39,148,"1,840",72,2025,95,2136,7,118,212,"4,550",15,83,174,"3,803",78,2487,19,459,,,239,"6,960",25,232,143,3326,21,2833,15,281,,,212,4200,24,314,21,618,146,2378,4,69,,,59,1541,1,26,9,268,63,2487,24,547,8,169,51,1232,2,32,123,2566,53,2114,6,110,47,3130,0,0,85,1476,28,989,5,22,39,3218,0,0
PU,Port Union,NL,104,"1,504",0,0,43,717,0,0,73,"1,531",8,17,113,"1,886",,,49,964,,,73,"1,425",3,4,105,"1,523",,,7,132,,,99,"2,302",21,296,97,1499,,,14,216,,,104,2412,27,457,105,1263,,,23,612,,,123,2596,,,123,1697,,,3,86,,,122,2325,,,233,3139,26,605,0,0,0,0,0,0,154,2850,30,1027,0,0,0,0,3,10
QS,Queen/Saulter,NL,34,1765,0,0,45,1115,0,0,222,"4,971",34,1049,74,2614,,,66,1665,,,276,"6,721",31,321,50,1975,,,19,488,,,398,"9,000",26,162,50,1586,,,17,767,,,378,8679,11,38,42,1369,,,12,389,,,406,9060,,,65,1270,,,6,98,,,357,8171,2,16,174,3973,176,4777,0,0,0,0,1,2,81,1550,243,5736,0,0,0,0,2,12
RX,Rexdale,NL,7,145,0,0,52,812,0,0,100,"1,615",32,173,16,209,,,35,505,,,129,"2,424",9,25,24,294,,,27,260,,,136,"3,030",,,62,552,,,30,331,,,113,2644,,,73,933,,,33,385,,,147,3054,,,123,1392,,,37,466,,,131,2291,,,221,3227,37,1059,0,0,0,0,1,1,169,2789,14,492,0,0,0,0,2,4
RI,Richview,DL,175,3903,13,192,313,"7,655",12,761,290,"18,593",227,1914,193,"6,442",18,180,173,"4,936",11,584,311,"14,527",63,368,180,"5,647",18,146,35,775,7,366,209,"7,902",49,352,283,6518,20,151,165,5200,9,469,253,9947,72,686,218,6180,28,232,132,4659,9,346,212,9331,52,326,87,2300,24,268,138,4827,10,282,121,2817,72,828,167,4907,62,2942,9,261,3,43,60,395,205,6699,64,3448,4,420,0,0,52,414
RD,Riverdale,NL,70,884,160,6704,91,"1,674",0,0,67,"1,386",1,22,72,"1,223",149,7173,93,1697,,,61,"1,537",24,273,69,"1,371",131,7343,64,1335,,,96,"1,790",22,222,83,1002,154,7573,43,1010,,,117,2911,3,32,69,1209,158,7092,9,358,,,113,3579,,,38,1238,127,6859,22,361,10,348,131,4116,,,192,4931,12,305,0,0,113,6626,53,148,160,3503,11,158,0,0,129,6278,39,107
RN,Runnymede,NL,239,"3,564",25,262,134,"3,345",0,0,232,"8,018",24,181,198,"3,865",7,68,42,825,,,213,"7,088",53,496,66,"1,833",,,26,357,,,100,"3,607",23,170,43,1503,,,44,1123,,,205,6622,36,265,38,1499,,,43,1145,,,198,6019,17,54,76,1943,,,25,701,,,156,5168,24,85,167,5318,55,1677,0,0,0,0,26,125,188,5773,40,900,0,0,0,0,25,152
SWS,S. Walter Stewart,DL,113,"5,040",0,0,188,"4,204",0,0,263,"8,598",51,357,142,"5,196",,,174,"4,350",,,248,"8,661",58,413,141,4776,,,103,"2,007",,,255,"10,104",49,691,111,3472,,,27,607,,,249,8728,71,602,106,3759,,,28,912,,,268,10076,36,386,103,4188,,,69,2048,9,97,229,7742,53,608,361,11695,92,3419,0,0,0,0,65,598,298,9624,97,3072,0,0,0,0,56,503
SA,Sanderson,NL,135,"2,420",34,81,445,"8,453",49,1503,153,"2,189",27,215,228,2802,51,214,325,"5,223",17,720,150,"1,853",36,819,70,944,27,137,169,3188,12,489,121,"2,158",22,1028,54,1000,23,115,68,1850,79,1533,57,1258,13,1097,68,1422,28,128,18,288,24,2004,68,1605,13,1111,65,1461,31,195,48,1883,30,2070,82,2349,,,140,3181,38,1126,32,3960,8,362,0,0,156,4441,37,1568,24,4318,9,2349,1,2
SC,Scarborough Civic Centre,NL,60,1710,0,0,48,1034,0,0,83,"2,706",95,689,55,599,,,79,"1,462",,,116,"2,629",85,666,38,502,,,33,631,,,164,"4,151",96,935,46,647,,,33,356,,,192,4532,144,1216,28,432,,,22,258,,,86,2201,80,1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Spadina Road,NL,40,593,28,174,16,262,0,0,116,1983,12,87,49,958,35,195,50,1047,,,126,3168,12,70,26,473,26,316,15,357,,,170,"4,511",17,170,34,639,,,21,719,,,157,3960,10,186,13,313,,,4,53,,,175,3819,,,14,443,,,7,261,,,133,2764,,,84,2481,51,1217,0,0,0,0,0,0,71,1792,62,1679,0,0,0,0,2,8
SI,St. Clair/Silverthorn,NL,8,211,0,0,7,115,0,0,39,852,0,0,4,37,,,1,6,,,39,587,,,25,300,,,1,37,,,102,"1,319",,,34,413,,,,,,,95,1386,1,6,24,352,,,10,119,,,159,2347,,,31,536,,,6,14,,,162,2607,12,15,61,989,12,267,5,22,0,0,9,9,67,1163,3,67,8,128,0,0,0,0
SJ,St. James Town,NL,48,500,43,454,23,395,11,421,150,"2,137",13,95,60,998,48,437,39,962,11,396,154,"2,546",,,118,2087,46,410,42,737,12,390,174,"3,052",22,133,29,514,47,492,36,858,12,804,136,2899,23,287,139,1278,49,346,2,18,12,596,99,2012,2,50,142,893,78,457,8,273,12,801,189,3705,,,72,1206,39,868,60,1055,49,313,0,0,133,3029,26,723,52,990,40,364,0,0
SL,St. Lawrence,NL,21,364,0,0,40,"1,014",0,0,186,3384,10,67,6,166,,,36,611,,,102,2038,2,13,42,595,,,19,365,,,170,3046,14,123,29,387,,,9,270,,,201,3317,2,58,26,696,,,6,203,,,141,2561,,,13,300,,,17,397,,,175,3325,,,117,2268,52,1027,0,0,0,0,0,0,39,893,41,880,0,0,0,0,0,0
ST,Steeles,NL,40,726,0,0,149,3953,3,71,41,870,28,396,11,224,,,95,2019,,,20,295,27,294,94,1454,,,94,1889,15,192,25,243,5,33,52,841,,,72,1064,7,79,65,1391,6,18,55,945,,,59,1069,,,34,919,22,80,23,695,,,82,1692,,,30,1033,,,148,2930,34,1031,1,15,0,0,0,0,123,2513,31,839,0,0,5,46,0,0
SW,Swansea Memorial,NL,1,99,0,0,5,118,0,0,47,"1,241",0,0,,,,,,,,,43,"1,544",,,1,30,,,,,,,99,"3,108",,,2,161,,,,,,,58,1417,,,3,305,,,,,,,35,1226,,,2,85,,,,,,,18,650,,,19,643,8,297,0,0,0,0,0,0,22,773,7,142,0,0,0,0,0,0
TA,Taylor Memorial,NL,64,897,0,0,19,485,0,0,99,"1,572",0,0,45,614,,,21,390,,,109,1639,12,60,29,556,,,23,308,,,100,"1,521",,,24,473,,,15,234,,,80,1715,3,58,58,792,,,12,166,,,84,1654,6,13,50,794,,,5,68,,,98,1990,,,85,1744,22,695,2,43,1,4,20,65,109,1787,38,976,5,151,0,0,0,0
TH,Thorncliffe,NL,189,4214,46,550,159,3334,12,623,68,1437,28,380,128,2507,49,535,128,2120,12,609,63,977,12,50,135,3114,53,440,89,1303,12,656,129,1806,47,1012,147,2176,75,587,103,2050,12,701,78,1029,26,435,60,2894,61,598,46,788,12,588,112,1991,3,47,84,1757,98,688,37,380,12,629,118,1841,1,6,151,2870,82,2042,12,782,123,873,0,0,156,2514,40,994,12,1314,90,847,0,0
TOD,Todmorden Room,NL,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VV,Victoria Village,NL,38,"1,087",0,0,42,888,0,0,110,"2,349",8,108,43,"1,209",,,29,686,,,91,"1,931",,,38,978,,,27,701,,,105,"1,826",13,212,29,673,,,6,93,,,124,2876,,,17,447,,,5,92,,,116,2498,1,7,17,457,,,4,134,,,127,2278,,,66,1593,40,996,0,0,0,0,0,0,107,1836,78,1997,0,0,0,0,0,0
WE,Weston,NL,157,"1,954",0,0,28,644,11,201,147,"2,394",0,0,157,"1,954",3,19,51,786,11,160,134,"2,355",4,20,127,"1,202",,,36,573,12,152,110,"2,249",12,131,124,1723,42,121,35,694,12,248,163,3591,,,82,1396,25,89,41,1043,11,89,131,2683,,,70,2448,33,166,14,288,8,134,146,3022,1,15,165,3114,83,1733,11,225,39,276,7,31,187,3766,171,3899,8,393,0,0,0,0
WS,Woodside Square,NL,58,"1,716",0,0,108,"2,712",0,0,319,"10,702",28,262,53,"1,469",,,112,2823,,,257,"9,149",12,113,67,"1,730",,,63,1616,,,287,"11,188",2,35,71,2014,,,82,1966,,,350,14048,19,478,57,1785,8,49,76,2566,,,208,5329,7,208,72,2482,40,881,64,1745,,,177,4927,2,71,238,5913,48,1827,1,56,41,1022,0,0,161,4057,33,1225,0,0,36,757,0,0
WP,Woodview Park,NL,275,3879,0,0,89,"1,391",12,146,118,2775,17,221,157,2406,,,51,898,7,106,132,"4,244",2,15,160,"1,992",,,25,519,10,162,158,"3,578",10,48,59,755,,,8,214,12,96,159,3135,,,15,309,,,11,405,12,87,153,3310,2,110,9,327,,,10,242,12,123,81,1351,,,11,399,71,1654,11,162,0,0,0,0,16,597,78,1450,7,155,0,0,0,0
WY,Wychwood,NL,0,0,0,0,0,0,0,0,25,445,0,0,5,126,,,5,129,,,124,"3,496",,,46,"1,039",,,4,39,,,231,"5,771",,,36,1039,,,23,410,,,226,5767,15,258,16,569,,,10,270,,,291,9009,,,5,199,,,6,200,,,222,6744,,,242,8783,26,653,0,0,0,0,0,0,192,7681,33,709,0,0,0,0,0,0
YW,York Woods,DL,316,5626,29,261,147,3140,7,156,112,"2,755",53,278,446,"8,763",55,490,342,7572,11,280,89,"1,924",116,728,520,"11,121",72,395,445,"10,547",12,413,185,"4,283",140,906,544,14865,35,310,330,8561,55,1871,146,4056,165,1454,395,13217,36,391,158,3061,8,277,181,4539,114,1334,251,9259,87,731,137,4828,11,308,121,3387,81,812,203,6554,112,4612,23,269,76,915,90,825,276,9866,89,3821,49,3182,91,1808,38,407
YO,Yorkville,NL,33,976,0,0,111,"1,792",0,0,305,8036,19,166,76,"1,354",,,70,977,,,270,"7,991",23,158,80,"1,196",,,93,"1,193",,,282,"8,181",2,2,57,701,,,108,1572,,,239,6759,6,10,141,2877,,,26,509,,,237,4996,15,70,34,944,,,8,192,,,157,2677,10,29,179,3232,61,1084,0,0,0,0,8,33,140,2395,42,969,0,0,2,30,0,0
TRL,Toronto Reference Library,RR,294,15857,14,186,235,10406,0,0,179,10937,588,7792,349,11208,23,223,220,11287,,,194,14845,468,8025,337,9805,25,360,165,9661,0,0,186,15506,486,8030,185,8486,1,40,205,12659,0,0,165,12802,599,8634,102,7205,0,0,196,13843,0,0,144,14983,663,10403,104,10653,29,562,218,12066,,,111,8746,680,11472,366,26769,255,4971,0,0,79,1160,360,5328,303,24691,198,4791,0,0,86,1669,294,4263
UA,Urban Affairs,RR,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
MC,Merril Collection,RR,3,135,0,0,0,0,0,0,16,339,1,2,2,65,,,,,,,13,586,,,5,109,,,,,,,8,234,13,243,2,16,,,,,,,39,433,,,11,254,,,,,,,12,264,,,16,711,,,,,,,3,144,2,50,17,1238,3,65,0,0,0,0,0,0,14,472,1,9,0,0,0,0,0,0
OC,Osborne Collection,RR,0,0,0,0,0,0,0,0,36,753,4,25,7,277,,,,,,,28,708,11,116,,,,,,,,,32,663,21,399,6,356,,,,,,,44,581,19,328,2,139,,,1,8,,,10,250,43,730,6,314,,,12,189,,,5,197,43,800,2,300,1,24,0,0,0,0,0,0,4,527,24,517,4,119,4,28,0,0
IL,Interloan,RR,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
AL,Answerline,RR,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
NYCL,North York Central,RR,220,13093,132,8732,402,12868,0,0,334,18689,582,4975,86,3511,34,2298,129,4087,,,174,10865,563,13557,0,0,0,0,24,799,0,0,124,3588,654,19321,166,10807,161,13001,347,11772,7,139,377,20234,584,13872,204,12023,234,20808,355,11277,10,739,408,24424,504,10951,268,13019,241,23419,201,7261,58,1431,498,25869,653,16688,718,42269,869,25724,9,585,240,20776,189,2260,732,38516,868,23960,1,10,238,17307,170,1532
BO,Bookmobile,CWS,1,20,0,0,0,0,0,0,0,0,0,0,11,183,,,,,,,2,8,11,93,,,,,,,,,,,7,109,,,,,,,,,,,1,31,,,,,,,,,12,243,,,,,,,,,,,47,872,,,5,474,25,680,0,0,0,0,0,0,0,0,5,235,0,0,0,0,0,0
HLS,Home Library Service,CWS,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,6,19,,,,,,,,,,,16,77,1,8,,,,,11,443,,,16,64,,,,,,,20,876,,,20,100,,,,,,,21,897,,,19,87,,,44,1401,0,0,0,0,0,0,0,0,33,690,0,0,0,0,0,0,0,0
ALD,Adult Literacy Department,CWS,25,267,0,0,128,1003,109,4439,79,487,12,65,,,,,163,1085,129,5213,46,345,9,81,,,,,29,201,173,5387,71,420,9,61,,,,,5,46,194,6307,30,287,13,167,,,,,,,189,6409,18,512,7,99,,,,,,,259,7545,,,,,0,0,0,0,193,6808,0,0,0,0,0,0,0,0,180,6836,0,0,0,0
SH,Sunnybrook Hospital,CWS,0,0,0,0,0,0,0,0,81,"1,390",0,0,,,,,,,,,73,"1,151",,,,,,,,,,,78,"1,277",,,,,,,,,,,68,990,1,8,,,,,,,,,78,1178,,,,,,,,,,,82,1132,,,82,1118,9,164,0,0,0,0,0,0,70,902,4,63,0,0,0,0,0,0
DS,Departmental Staff,OT,0,0,0,0,6,119,0,0,1,99,451,13963,,,,,,,,,2,522,295,8967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,45,,,22,810,,,46,932,1,20,0,0,0,0,0,0,7,181,35,653,0,0,0,0,0,0
,Grand Total,,10874,220901,2181,54150,11844,262773,626,20908,14042,371474,5369,55927,12502,242007,2287,55191,11193,247886,641,23132,14855,388865,5055,60128,11271,228288,2345,63549,7505,158813,640,21616,15890,421468,4839,64997,10637,228548,2485,78994,6224,145190,1094,31636,16298,425846,4036,51810,8681,207672,2488,83132,5880,140981,922,30202,16033,419688,3076,43742,7261,189024,2540,78174,5544,129981,812,27671,14915,382494,2729,42742,18500,473298,6965,203346,1224,35453,2372,79187,1860,16837,16933,450478,6420,182589,1094,40466,2097,82208,1531,13793
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bookmobile One,0,0,5,235,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bookmobile Two,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home Library East
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home Library North
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home Library South
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home Library West
