,,,2019,,,,,,,,,,,,2018,,,,,,,,,,,,2017,,,,,,,,,,,,2016,,,,,,,,,,,,2015,,,,,,,,,,,,2014,,,,,,,,,,,,2013,,,,,,,,,,2012,,,,,,,,,
,,,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,General,General,Class/Group,Class/Group,Literacy,Literacy,ESL,ESL,User Education,User Education,General,General,Class/Group,Class/Group,Literacy,Literacy,ESL,ESL,User Education,User Education
ID,Branches,Tier,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att
BY,Bayview,NL,22,630,0,0,42,"1,094",0,0,69,"2,691",0,0,22,"1,023",,,32,925,,,49,"3,041",10,79,39,"1,758",,,48,1538,,,84,"4,379",46,701,9,482,,,9,198,,,82,2982,4,56,1,60,,,2,6,,,49,1089,2,27,13,607,,,5,62,,,6,51,,,19,499,3,67,1,28,0,0,0,0,13,776,6,109,0,0,0,0,0,0
BE,Beaches,NL,81,"1,461",0,0,63,"1,173",0,0,145,3748,2,11,97,"1,524",,,58,"1,216",,,150,"2,921",9,33,76,"1,148",,,27,498,,,127,"3,007",1,9,85,1472,,,26,543,,,86,1868,20,277,91,1646,,,46,936,,,105,3488,1,11,91,2419,,,32,732,,,88,2795,,,195,4665,15,752,0,0,1,10,1,1,220,5456,20,668,0,0,0,0,0,0
BD,Bendale,NL,53,"1,808",0,0,75,"2,359",0,0,30,508,4,110,140,"3,467",,,67,"1,673",,,84,"1,676",16,192,84,"1,577",,,19,798,,,96,"2,109",10,81,24,469,,,30,670,,,139,2769,24,166,33,975,,,38,1432,,,71,1544,4,22,50,1131,,,34,1441,,,136,3480,2,23,116,3007,69,1754,0,0,0,0,0,0,146,3880,38,1159,0,0,0,0,0,0
BC,Black Creek,NL,157,"2,258",28,175,98,"1,798",0,0,90,"2,579",12,52,177,"3,043",29,116,72,"1,506",,,65,"1,483",124,"1,217",148,"2,495",33,139,46,"1,188",,,38,"1,121",15,148,165,3204,41,198,48,1432,,,25,975,4,30,111,3406,43,191,7,182,,,77,2821,1,17,15,522,37,238,39,753,,,78,4897,1,16,48,2980,33,782,0,0,28,138,0,0,79,5567,23,403,0,0,45,376,0,0
BL,Bloor/Gladstone,DL,162,"3,524",40,539,195,"3,271",12,146,365,"11,923",131,1105,174,"4,147",41,477,120,"2,496",12,367,293,"9,556",,,103,"3,153",8,158,83,"1,209",11,300,216,"5,671",64,857,124,3060,,,67,1505,12,422,169,3915,55,488,109,2864,,,57,1620,12,471,223,5125,45,738,112,3000,2,50,65,1420,11,338,257,7439,18,163,205,5822,83,4273,11,446,0,0,20,68,264,6060,79,2167,8,794,1,14,51,224
BR,Brentwood,DL,236,"4,065",160,1764,177,"3,575",8,151,231,"8,100",88,645,325,"5,032",194,2149,223,"6,013",,,312,"10,707",147,1146,337,"5,415",191,1845,117,"1,922",,,356,"13,005",153,1432,271,3479,200,2053,122,1567,,,296,9817,159,1117,231,3363,167,1737,160,2290,,,309,9010,119,916,117,2867,39,290,121,1898,1,30,199,5678,85,639,331,6390,61,2530,2,68,1,14,35,237,38,809,3,45,0,0,1,23,0,0
BRW,Bridlewood,NL,74,1532,28,373,219,3848,0,0,138,"3,050",41,328,124,2182,36,455,212,"4,137",21,519,115,2391,32,381,131,3096,47,705,78,1175,28,1598,139,"3,208",39,546,114,3341,49,725,146,2341,27,1697,136,3441,16,257,89,3079,46,714,180,2454,22,1252,136,3681,31,263,63,2303,55,533,169,2173,,,162,4703,7,51,293,5829,63,1509,82,2354,69,1030,43,43,343,4846,59,1577,82,2000,65,945,0,0
BB,Brookbanks,NL,32,615,0,0,37,844,0,0,60,"1,377",5,29,39,769,,,42,"1,028",,,76,974,11,76,17,508,,,11,244,,,80,"1,569",18,245,58,726,,,11,267,,,98,1837,19,430,76,786,,,21,509,,,70,1297,,,67,877,15,287,20,289,,,94,1844,1,1,76,1305,59,971,0,0,40,1024,0,0,121,2436,57,1049,0,0,43,1290,0,0
BUR,Burrows Hall,NL,161,"1,921",0,0,71,"1,131",0,0,66,"1,250",1,5,144,"2,314",15,99,82,"1,509",,,103,"1,434",,,103,"1,105",62,416,52,715,,,124,"3,026",25,157,49,779,77,594,52,555,,,163,3941,10,94,6,295,,,61,924,,,117,2143,,,10,441,,,55,477,10,82,127,2952,,,112,2060,66,1896,0,0,39,380,0,0,122,1757,46,1122,0,0,19,166,5,12
CED,Cedarbrae,DL,426,"5,010",61,"1,627",251,"6,149",12,720,447,"14,299",162,1271,529,"8,238",69,1705,351,"10,898",10,1151,303,"8,578",106,923,548,"7,741",46,"1,906",387,"10,959",10,1319,209,"6,553",142,1094,311,5989,47,1942,286,8802,72,3002,221,6246,98,936,141,3360,54,2193,131,4621,32,1920,243,6531,70,848,87,2023,70,1882,155,4754,5,367,189,5243,61,950,300,7741,166,4458,11,364,43,1512,66,975,310,7353,172,4168,9,505,41,1575,62,918
