Circulation by Material Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,January to December 2019,,,,,,,,,,,,January to December 2018,,,,,,,,,,,,January to December 2017,,,,,,,,,,,,January to December 2016,,,,,,,,,,,,January to December 2015,,,,,,,,,,,,January to December 2014,,,,,,,,,,,,January to December 2013,,,,,,,,,,,,January to December 2012,,,,,,,,,,,
,,,ENGLISH,,,,FRENCH,,,,MULTILINGUAL,,,TOTAL,ENGLISH,,,,FRENCH,,,,MULTILINGUAL,,,TOTAL  ,ENGLISH,,,,FRENCH,,,,MULTILINGUAL,,,TOTAL,ENGLISH,,,,FRENCH,,,,MULTILINGUAL,,,TOTAL,ENGLISH,,,,FRENCH,,,,MULTILINGUAL,,,TOTAL,ENGLISH,,,,FRENCH,,,,MULTILINGUAL,,,TOTAL,ENGLISH,,,,FRENCH,,,,MULTILINGUAL,,,TOTAL  ,ENGLISH,,,,FRENCH,,,,MULTILINGUAL,,,TOTAL  
ID,Branch Name,Tier,Child,Teen,Adult,Total ENG,Child,Teen,Adult,Total FRE,Child,Adult,Total MLC,All Languages,Child,Teen,Adult,Total ENG,Child,Teen,Adult,Total FRE,Child,Adult,Total MLC,All Languages,Child,Teen,Adult,Total ENG,Child,Teen,Adult,Total FRE,Child,Adult,Total MLC,All Languages,Child,Teen,Adult,Total ENG,Child,Teen,Adult,Total FRE,Child,Adult,Total MLC,All Languages,Child,Teen,Adult,Total ENG,Child,Teen,Adult,Total FRE,Child,Adult,Total MLC,All Languages,Child,Teen,Adult,Total ENG,Child,Teen,Adult,Total FRE,Child,Adult,Total MLC,All Languages,Child,Teen,Adult,Total ENG,Child,Teen,Adult,Total FRE,Child,Adult,Total MLC,All Languages,Child,Teen,Adult,Total ENG,Child,Teen,Adult,Total FRE,Child,Adult,Total MLC,All Languages
BY,Bayview,NL,"147,234","9,332","213,527","370,093","3,687",20,"2,038","5,745","3,685","18,256","21,941","397,779","156,319","9,619","231,942","397,880","3,719",43,"2,157","5,919","3,400","21,969","25,369","429,168",157819,9556,253977,421352,3857,25,2037,5919,3369,24470,27839,455110,137376,8844,236266,382486,3224,27,2275,5526,3402,22455,25857,413869,118651,8800,217863,345314,2997,33,1982,5012,2928,21735,24663,374989,140454,9178,262510,412142,2733,38,2486,5257,3469,31999,35468,452867,148125,10504,292900,451529,2604,25,2693,5322,4899,37785,42684,499535,130443,9380,252444,392267,1776,9,2120,3905,5589,31891,37480,433652
BE,Beaches,NL,"74,036","4,605","202,960","281,601","2,881",31,"1,182","4,094",350,"1,278","1,628","287,323","70,349","5,222","208,192","283,741","2,903",49,"1,404","4,378",395,"1,304","1,699","289,818",75335,5231,225972,306538,3269,54,1976,5299,616,1571,2187,314024,74815,6180,244226,325221,3327,45,1694,5066,582,1543,2125,332412,73709,6419,269987,350106,2684,43,1412,4148,446,1657,2103,356357,74016,6786,260590,341392,2601,6,1481,4088,563,1349,1912,347392,77042,6472,258965,342479,2822,20,1505,4347,372,1766,2138,348964,78536,6491,249555,334582,3395,26,1535,4956,340,2022,2362,341900
BD,Bendale,NL,"39,469","3,079","66,295","108,843",165,,155,320,643,"4,577","5,220","114,383","38,890","3,319","74,197","116,429",145,28,195,345,519,"5,204","5,723","122,497",36128,3262,76689,116079,243,5,275,523,411,6579,6990,123592,44350,3809,85294,133453,191,4,110,305,297,7427,7724,141482,45456,3853,88845,138162,213,10,99,314,485,8158,8643,147119,49738,3536,95978,149252,566,6,138,710,507,10532,11039,161001,57533,4915,108821,171269,558,3,157,718,799,11698,12497,184484,63678,6187,114940,184805,727,10,169,906,1053,13365,14418,200129
BC,Black Creek,NL,"25,555","2,701","43,316","71,572",115,8,121,244,367,"7,688","8,055","79,871","25,644","2,543","48,486","76,676",191,3,111,302,311,"8,890","9,201","86,179",28220,3111,54791,86122,563,3,228,794,255,10197,10452,97368,28524,3885,57878,90287,632,5,190,827,443,12064,12507,103621,29171,4608,59191,92971,754,3,131,887,489,15240,15729,109587,31829,7134,56373,95336,947,6,113,1066,606,17504,18110,114512,31440,5783,55028,92251,1139,1,151,1291,405,16421,16826,110368,40383,7545,69691,117619,1151,9,184,1344,610,18799,19409,138372
BL,Bloor Gladstone,DL,"113,977","9,891","228,212","352,080","5,728",56,"2,359","8,143","1,530","11,041","12,571","372,794","111,294","9,405","226,065","346,737","5,215",6,"2,465","7,713","1,672","13,130","14,802","369,252",111615,10298,241840,363753,5399,29,2623,8051,1849,14712,16561,388365,116135,11023,256867,384025,5318,18,2537,7873,1900,17190,19090,410988,120714,11449,283490,415653,4836,25,2637,7498,1905,21390,23295,446446,117097,11617,279376,408090,5028,17,2571,7616,1987,24508,26495,442201,124449,12821,297367,434637,4919,28,3287,8234,2788,31627,34415,477286,119968,14120,300377,434465,4448,9,3320,7777,2748,34959,37707,479949
BR,Brentwood,DL,"123,533","6,448","264,971","394,952","5,169",47,"3,198","8,414","1,352","5,150","6,502","409,868","127,477","5,957","270,776","404,210","4,956",121,"2,860","7,937","1,062","5,507","6,569","418,716",126712,6260,285799,418771,4918,155,2650,7723,786,5800,6586,433080,121243,6423,279975,407641,4476,116,2317,6909,917,5485,6402,420952,117103,6544,274872,398519,4665,101,2163,6929,537,5144,5681,411129,110479,7630,274523,392632,5199,82,2297,7578,477,5274,5751,405961,115260,7833,282691,405784,5687,112,2392,8191,779,5336,6115,420090,28621,2194,70616,101431,1438,43,759,2240,233,2097,2330,106001
BRW,Bridlewood,NL,"115,408","10,541","158,096","284,045","3,653",6,947,"4,606","6,160","51,320","57,480","346,131","139,929","12,912","187,459","340,300","3,518",12,"1,567","5,097","8,577","65,175","73,752","419,149",126679,11577,170258,308514,3979,9,1322,5310,8322,63355,71677,385501,136232,12735,188641,337608,3716,9,1420,5145,8470,69020,77490,420243,143974,14088,196877,354939,4113,8,1091,5212,9576,79472,89048,449199,150168,15392,212470,378030,3168,20,984,4172,11437,100153,111590,493792,154955,18532,224086,397573,2888,25,1036,3949,11330,109692,121022,522544,146445,21706,226299,394450,2239,24,1164,3427,12141,108707,120848,518725
BB,Brookbanks,NL,"57,282","3,653","82,651","143,586","2,151",9,977,"3,137",851,"4,317","5,168","151,891","56,016","3,049","88,930","148,008","1,794",26,"1,305","3,112","1,013","4,703","5,716","156,836",55290,3714,92763,151767,2386,29,1267,3682,1012,4930,5942,161391,56433,3827,97183,157443,2090,36,1105,3231,701,5532,6233,166907,58163,4799,105110,168072,2132,33,1089,3254,754,7185,7939,179265,63852,5085,109472,178409,1933,28,1267,3228,1506,8624,10130,191767,68757,6574,112416,187747,2198,62,1331,3591,1393,10561,11954,203292,68626,6147,109685,184458,2467,44,1193,3704,1887,12105,13992,202154
BUR,Burrows Hall,NL,"48,091","6,587","52,257","106,935","1,192",7,432,"1,631",902,"13,789","14,691","123,257","44,629","6,442","54,716","105,787",809,1,552,"1,362",941,"15,652","16,593","123,742",50548,7172,59440,117160,812,5,314,1131,1238,21902,23140,141431,57257,6565,65598,129420,775,6,280,1061,1560,23697,25257,155738,64649,7926,73657,146232,767,2,325,1094,1783,29543,31326,178652,69186,7997,79441,156624,1053,1,251,1305,2451,33214,35665,193594,74727,9229,83430,167386,1118,5,431,1554,2545,36266,38811,207751,75234,10476,89004,174714,930,25,481,1436,3357,39379,42736,218886
CED,Cedarbrae,DL,"140,861","12,548","184,301","337,710","3,932",82,"1,326","5,340","3,000","28,893","31,893","374,943","151,809","11,398","189,424","352,631","3,997",118,"1,720","5,835","2,513","33,347","35,860","394,326",160155,11384,208558,380097,4630,88,1674,6392,2734,41607,44341,430830,181476,12241,231294,425011,4760,61,1561,6382,2348,51642,53990,485383,197564,15525,240574,453663,5011,56,1471,6538,2803,59250,62053,522254,216421,18265,262574,497260,5611,133,1844,7588,3467,75859,79326,584174,244500,21071,291045,556616,6186,186,1727,8099,4002,91078,95080,659795,261549,25492,305034,592075,8064,114,1894,10072,4920,123990,128910,731057
