Total Programs,,,,,,,,,,,,,,,,,,,,,,
,,,2019,,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011,,2010,
ID,Branches,Tier,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance
RX,Rexdale,NL,191,"2,745",189,"3,163",187,"3,584",205,3527,253,4372,291,4149,259,4287,185,3285,268,5407,244,5347
RI,Richview,DL,1030,"33,018",769,"27,037",498,"15,188",802,22971,651,21074,452,11322,301,8548,325,10981,298,9878,466,12884
RD,Riverdale,NL,389,"10,670",399,"11,903",382,"12,061",400,12528,349,12238,328,12922,370,12010,339,10046,420,11763,361,10596
RN,Runnymede,NL,654,"15,370",513,"12,342",215,"5,967",328,9513,296,8717,281,7897,248,7120,253,6825,276,7318,272,6640
SWS,S. Walter Stewart,DL,615,"18,199",622,"18,620",548,"17,578",458,13409,438,15133,463,14683,518,15712,451,13199,448,12090,408,10407
SA,Sanderson,NL,843,"14,861",807,"11,631",421,"7,944",294,6853,219,6558,256,7958,218,8629,227,12678,275,16768,248,11708
SC,Scarborough Civic Centre,NL,286,"6,139",335,"5,356",331,"6,219",415,6751,216,4093,,,,,,,,,,
SP,Spadina Road,NL,212,"3,099",272,5438,254,"5,827",222,5504,192,4185,154,3468,135,3698,135,3479,175,3166,141,2428
SI,St. Clair/Silverthorn,NL,54,"1,178",44,630,128,"1,656",130,1805,193,2818,211,3172,87,1287,78,1358,112,2109,86,1475
SJ,St. James Town,NL,288,"4,002",312,"5,339",414,"6,809",283,5854,303,4300,429,6129,220,3442,251,5106,394,9254,256,6266
SL,St. Lawrence,NL,257,"4,829",146,"2,828",245,"4,129",241,4032,173,3460,205,4022,169,3295,80,1773,127,2889,134,2859
ST,Steeles,NL,261,"6,016",153,"2,832",233,"3,811",202,3393,170,3013,135,3420,183,3976,159,3398,182,3825,185,3437
SW,Swansea Memorial,NL,81,"1,390",73,"1,151",100,"3,138",60,1578,38,1531,20,735,27,940,29,915,24,834,28,836
TA,Taylor Memorial,NL,53,"1,458",43,"1,544",152,"2,385",122,2480,160,2625,153,2852,130,2551,152,2914,160,2574,145,2858
TH,Thorncliffe,NL,182,2954,187,2703,465,8331,441,6978,294,6906,350,5301,368,6567,298,5669,318,6070,210,5153
TOD,Todmorden Room,NL,502,"10,538",392,"6,798",,,,,,,,,0,0,0,0,0,0,0,0
VV,Victoria Village,NL,198,"4,432",163,"3,826",183,"3,717",159,3642,139,3044,148,2869,106,2589,185,3833,193,3841,236,4664
WE,Weston,NL,343,"5,193",360,"5,294",297,"4,307",376,6377,290,5300,272,6073,305,5379,366,8058,419,10170,283,7406
WS,Woodside Square,NL,513,"15,392",434,"13,554",419,"14,569",522,18506,356,9937,355,10106,328,8818,230,6039,273,6943,307,8979
WP,Woodview Park,NL,511,8412,349,"7,669",363,"6,299",238,4200,193,4221,112,2043,93,2215,101,2202,128,3001,205,3972
WY,Wychwood,NL,12,166,134,"3,751",281,"6,849",300,7474,317,9848,233,7143,268,9436,225,8390,271,9451,254,8890
YW,York Woods,DL,627,"11,265",1059,"19,757",1374,"27,665",1275,31117,892,22819,688,19325,504,13175,543,19084,740,31332,575,29624
YO,Yorkville,NL,518,"12,200",439,"10,480",457,"10,572",410,9042,419,8452,209,3842,248,4349,184,3394,176,3209,147,2876
TRL,Toronto Reference Library,RR,1310,45178,1254,45588,1199,43362,1155,42621,1105,46434,1142,43499,1060,38228,881,35414,967,36203,854,37584
UA,Urban Affairs,RR,,,,,,,,,,,,,,,0,0,4,181,6,113
MC,Merril Collection,RR,20,476,15,651,26,586,41,449,23,518,21,905,20,1303,15,481,13,854,27,1230
OC,Osborne Collection,RR,,,,,53,1062,69,1265,56,1127,66,1500,3,324,36,1191,51,1584,80,1993
IL,Interloan,RR,40,778,46,1101,,,,,,,,,,,0,0,0,0,0,0
AL,Answerline,RR,,,,,,,,,,,,,,,0,0,0,0,0,0
NYCL,North York Central,RR,1670,58357,986,34318,802,23708,1642,69825,1715,80222,1919,87687,2025,91614,2009,81325,2264,87807,2028,79210
BO,Bookmobile,CWS,1,20,24,284,7,109,1,31,12,243,47,872,30,1154,5,235,4,107,2,50
HLS,Home Library Service,CWS,,,6,19,17,85,27,507,40,976,40,984,44,1401,33,690,58,642,26,265
ALD,Adult Literacy Department,CWS,353,6261,347,6724,282,6069,242,6807,214,7020,259,7545,193,6808,180,6836,204,8865,202,8392
SH,Sunnybrook Hospital,CWS,,,,,78,"1,277",69,998,78,1178,82,1132,91,1282,74,965,57,720,45,454
DS,Departmental Staff,OT,458,14181,297,9489,,,,,,,23,855,47,952,42,834,69,1552,0,0
HSC,Grand Total,,44936,986133,46533,1017209,42490,958731,40774,962024,37080,925417,33801,850086,30921,808121,28075,769534,8,57,54,403
,,,,,,,,,,,,,,,,,,,31804,865495,28706,791231
