Branch Schedules by Hour,,,,,,,,,,,,,,,,,
,,,Operating Hours,,,,,,,Daily Hours,,,,,,,
ID,Branch,Tier,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Weekly Scheduled Hours
MI,Mimico Centennial,NL,Closed,12:30-8:30,12:30-8:30,10:00 - 6:00,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
MS,Morningside,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5,65.5
MD,Mount Dennis,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,10.5,8,8,8,8,8,3.5,54
MP,Mount Pleasant,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
NT,New Toronto,NL,Closed,10:00 - 6:00,12:30-8:30,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,,8,8,8,8,8,3.5,43.5
ND,Northern District,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
NE,Northern Elms,NL,Closed,12:30-8:30,12:30-8:30,10:00 - 6:00,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
OV,Oakwood Village Library and Arts Centre,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,,50.5
PM,Palmerston,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,,50.5
PA,Pape/Danforth,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
PK,Parkdale,NL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
PL,Parliament Street,NL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
PE,Perth/Dupont,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
PV,Pleasant View,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,,8,8,8,8,8,3.5,43.5
PU,Port Union,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,,50.5
QS,Queen/Saulter,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
RX,Rexdale,NL,Closed,10:00 - 6:00,12:30-8:30,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,,8,8,8,8,8,3.5,43.5
RI,Richview,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
RD,Riverdale,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,,62
RN,Runnymede,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5,65.5
SWS,S. Walter Stewart,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
SA,Sanderson,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5,65.5
SC,Scarborough Civic Centre,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5,65.5
SP,Spadina Road,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
SI,St. Clair/Silverthorn,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,,8,8,8,8,8,3.5,43.5
SJ,St. James Town,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,,8,8,8,8,8,3.5,43.5
SL,St. Lawrence,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,,50.5
ST,Steeles,NL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
SW,Swansea Memorial,NL,Closed,10-12/1-6,1:00 - 8:00,10-12/1-6,Closed,10:00 - 5:00,,,7,7,7,,7,,28
TA,Taylor Memorial,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
TH,Thorncliffe,NL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
TOD,Todmorden Room,NL,Closed,12:30-5/6-8:30,9-12/1-5,12:30-5/6-8:30,Closed,9-12/1-5,,,7,7,7,,7,,28
VV,Victoria Village,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
WE,Weston,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,10.5,8,8,8,8,8,3.5,54
WS,Woodside Square,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,,62
WP,Woodview Park,NL,Closed,10:00 - 6:00,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
WY,Wychwood,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,,62
YW,York Woods,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
YO,Yorkville,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,,62
TRL,Toronto Reference Library,RR,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
NYCL,North York Central Library,RR,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
